Date,Place,Value
2024-01-04T04:45:00Z,Fjederholt Å - A18,40.758
2024-01-04T04:30:00Z,Fjederholt Å - A18,40.758
2024-01-04T04:15:00Z,Fjederholt Å - A18,40.758
2024-01-04T04:00:00Z,Fjederholt Å - A18,40.755
2024-01-04T03:45:00Z,Fjederholt Å - A18,40.755
2024-01-04T03:30:00Z,Fjederholt Å - A18,40.759
2024-01-04T03:15:00Z,Fjederholt Å - A18,40.760000000000005
2024-01-04T03:00:00Z,Fjederholt Å - A18,40.759
2024-01-04T02:45:00Z,Fjederholt Å - A18,40.757000000000005
2024-01-04T02:30:00Z,Fjederholt Å - A18,40.762
2024-01-04T02:15:00Z,Fjederholt Å - A18,40.763000000000005
2024-01-04T02:00:00Z,Fjederholt Å - A18,40.763000000000005
2024-01-04T01:45:00Z,Fjederholt Å - A18,40.762
2024-01-04T01:30:00Z,Fjederholt Å - A18,40.766000000000005
2024-01-04T01:15:00Z,Fjederholt Å - A18,40.764
2024-01-04T01:00:00Z,Fjederholt Å - A18,40.768
2024-01-04T00:45:00Z,Fjederholt Å - A18,40.769000000000005
2024-01-04T00:30:00Z,Fjederholt Å - A18,40.767
2024-01-04T00:15:00Z,Fjederholt Å - A18,40.766000000000005
2024-01-04T00:00:00Z,Fjederholt Å - A18,40.771
2024-01-03T23:45:00Z,Fjederholt Å - A18,40.774
2024-01-03T23:30:00Z,Fjederholt Å - A18,40.77
2024-01-03T23:15:00Z,Fjederholt Å - A18,40.769000000000005
2024-01-03T23:00:00Z,Fjederholt Å - A18,40.773
2024-01-03T22:45:00Z,Fjederholt Å - A18,40.768
2024-01-03T22:30:00Z,Fjederholt Å - A18,40.768
2024-01-03T22:15:00Z,Fjederholt Å - A18,40.772000000000006
2024-01-03T22:00:00Z,Fjederholt Å - A18,40.77
2024-01-03T21:45:00Z,Fjederholt Å - A18,40.773
2024-01-03T21:30:00Z,Fjederholt Å - A18,40.773
2024-01-03T21:15:00Z,Fjederholt Å - A18,40.772000000000006
2024-01-03T21:00:00Z,Fjederholt Å - A18,40.771
2024-01-03T20:45:00Z,Fjederholt Å - A18,40.776
2024-01-03T20:30:00Z,Fjederholt Å - A18,40.768
2024-01-03T20:15:00Z,Fjederholt Å - A18,40.774
2024-01-03T20:00:00Z,Fjederholt Å - A18,40.777
2024-01-03T19:45:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T19:30:00Z,Fjederholt Å - A18,40.774
2024-01-03T19:15:00Z,Fjederholt Å - A18,40.774
2024-01-03T19:00:00Z,Fjederholt Å - A18,40.776
2024-01-03T18:45:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T18:30:00Z,Fjederholt Å - A18,40.775000000000006
2024-01-03T18:15:00Z,Fjederholt Å - A18,40.774
2024-01-03T18:00:00Z,Fjederholt Å - A18,40.773
2024-01-03T17:45:00Z,Fjederholt Å - A18,40.777
2024-01-03T17:30:00Z,Fjederholt Å - A18,40.777
2024-01-03T17:15:00Z,Fjederholt Å - A18,40.779
2024-01-03T17:00:00Z,Fjederholt Å - A18,40.785000000000004
2024-01-03T16:45:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T16:30:00Z,Fjederholt Å - A18,40.781
2024-01-03T16:15:00Z,Fjederholt Å - A18,40.774
2024-01-03T16:00:00Z,Fjederholt Å - A18,40.781
2024-01-03T15:45:00Z,Fjederholt Å - A18,40.775000000000006
2024-01-03T15:30:00Z,Fjederholt Å - A18,40.779
2024-01-03T15:15:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T15:00:00Z,Fjederholt Å - A18,40.777
2024-01-03T14:45:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T14:30:00Z,Fjederholt Å - A18,40.779
2024-01-03T14:15:00Z,Fjederholt Å - A18,40.778000000000006
2024-01-03T14:00:00Z,Fjederholt Å - A18,40.783
2024-01-03T13:45:00Z,Fjederholt Å - A18,40.786
2024-01-03T13:30:00Z,Fjederholt Å - A18,40.78
2024-01-03T13:15:00Z,Fjederholt Å - A18,40.783
2024-01-03T13:00:00Z,Fjederholt Å - A18,40.785000000000004
2024-01-03T12:45:00Z,Fjederholt Å - A18,40.784
2024-01-03T12:30:00Z,Fjederholt Å - A18,40.789
2024-01-03T12:15:00Z,Fjederholt Å - A18,40.781
2024-01-03T12:00:00Z,Fjederholt Å - A18,40.786
2024-01-03T11:45:00Z,Fjederholt Å - A18,40.785000000000004
2024-01-03T11:30:00Z,Fjederholt Å - A18,40.787
2024-01-03T11:15:00Z,Fjederholt Å - A18,40.782000000000004
2024-01-03T11:00:00Z,Fjederholt Å - A18,40.784
2024-01-03T10:45:00Z,Fjederholt Å - A18,40.786
2024-01-03T10:30:00Z,Fjederholt Å - A18,40.791000000000004
2024-01-03T10:15:00Z,Fjederholt Å - A18,40.789
2024-01-03T10:00:00Z,Fjederholt Å - A18,40.785000000000004
2024-01-03T09:45:00Z,Fjederholt Å - A18,40.791000000000004
2024-01-03T09:30:00Z,Fjederholt Å - A18,40.791000000000004
2024-01-03T09:15:00Z,Fjederholt Å - A18,40.79
2024-01-03T09:00:00Z,Fjederholt Å - A18,40.79
2024-01-03T08:45:00Z,Fjederholt Å - A18,40.791000000000004
2024-01-03T08:30:00Z,Fjederholt Å - A18,40.795
2024-01-03T08:15:00Z,Fjederholt Å - A18,40.793
2024-01-03T08:00:00Z,Fjederholt Å - A18,40.796
2024-01-03T07:45:00Z,Fjederholt Å - A18,40.796
2024-01-03T07:30:00Z,Fjederholt Å - A18,40.795
2024-01-03T07:15:00Z,Fjederholt Å - A18,40.800000000000004
2024-01-03T07:00:00Z,Fjederholt Å - A18,40.799
2024-01-03T06:45:00Z,Fjederholt Å - A18,40.801
2024-01-03T06:30:00Z,Fjederholt Å - A18,40.806000000000004
2024-01-03T06:15:00Z,Fjederholt Å - A18,40.799
2024-01-03T06:00:00Z,Fjederholt Å - A18,40.801
2024-01-03T05:45:00Z,Fjederholt Å - A18,40.802
2024-01-03T05:30:00Z,Fjederholt Å - A18,40.802
2024-01-03T05:15:00Z,Fjederholt Å - A18,40.806000000000004
2024-01-03T05:00:00Z,Fjederholt Å - A18,40.804
2024-01-03T04:45:00Z,Fjederholt Å - A18,40.805
2024-01-03T04:30:00Z,Fjederholt Å - A18,40.804
2024-01-03T04:15:00Z,Fjederholt Å - A18,40.806000000000004
2024-01-03T04:00:00Z,Fjederholt Å - A18,40.808
2024-01-03T03:45:00Z,Fjederholt Å - A18,40.804
2024-01-03T03:30:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-03T03:15:00Z,Fjederholt Å - A18,40.807
2024-01-03T03:00:00Z,Fjederholt Å - A18,40.809000000000005
2024-01-03T02:45:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-03T02:30:00Z,Fjederholt Å - A18,40.817
2024-01-03T02:15:00Z,Fjederholt Å - A18,40.806000000000004
2024-01-03T02:00:00Z,Fjederholt Å - A18,40.815000000000005
2024-01-03T01:45:00Z,Fjederholt Å - A18,40.813
2024-01-03T01:30:00Z,Fjederholt Å - A18,40.817
2024-01-03T01:15:00Z,Fjederholt Å - A18,40.817
2024-01-03T01:00:00Z,Fjederholt Å - A18,40.814
2024-01-03T00:45:00Z,Fjederholt Å - A18,40.813
2024-01-03T00:30:00Z,Fjederholt Å - A18,40.818000000000005
2024-01-03T00:15:00Z,Fjederholt Å - A18,40.812000000000005
2024-01-03T00:00:00Z,Fjederholt Å - A18,40.819
2024-01-02T23:45:00Z,Fjederholt Å - A18,40.819
2024-01-02T23:30:00Z,Fjederholt Å - A18,40.817
