Group,Desc,Text,long,lat,LineGroupId,Club
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.1190741,56.3247826,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118685,56.32502,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11861,56.325168,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118642,56.3253,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118921,56.325299,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.11944,56.325294,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120033,56.325309,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120245,56.325425,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120069,56.325682,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119721,56.325818,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119594,56.32591,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119591,56.326084,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119712,56.326207,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119742,56.326317,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119864,56.326397,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120288,56.326374,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120705,56.326348,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120835,56.326396,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120603,56.326489,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120397,56.326609,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120407,56.32677,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120606,56.326926,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120736,56.327091,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.120506,56.327203,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.12018,56.32725,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.119892,56.327198,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118953,56.327366,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118778,56.327346,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118639,56.327212,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118473,56.327214,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118362,56.32731,1,HI-LF
Dagkort,Karup Å (Hessellund) - Fiskeret,"Fiskesæson, fredningstider og mindstemål https://www.hi-lf.dk/fiskevande/regler/",9.118446,56.327471,1,HI-LF
