Length,Period,Avg,Lower,Upper,MonthN
40,Mar,0.594,0.478,0.737,3
40,May,0.786,0.632,0.979,5
40,Jun,0.778,0.627,0.964,6
40,Jul,0.749,0.604,0.928,7
40,Aug,0.726,0.585,0.9,8
40,Sep,0.716,0.577,0.888,9
40,Oct,0.704,0.568,0.873,10
40,Apr,0.55,0.442,0.685,4
41,Mar,0.638,0.514,0.791,3
41,May,0.847,0.681,1.054,5
41,Jun,0.838,0.675,1.039,6
41,Jul,0.808,0.651,1.002,7
41,Aug,0.783,0.632,0.972,8
41,Sep,0.771,0.622,0.957,9
41,Oct,0.759,0.612,0.941,10
41,Apr,0.599,0.481,0.745,4
42,Mar,0.684,0.551,0.849,3
42,May,0.911,0.733,1.134,5
42,Jun,0.901,0.726,1.118,6
42,Jul,0.87,0.701,1.079,7
42,Aug,0.844,0.68,1.047,8
42,Sep,0.83,0.669,1.029,9
42,Oct,0.816,0.658,1.012,10
42,Apr,0.65,0.523,0.809,4
43,Mar,0.733,0.59,0.909,3
43,May,0.979,0.787,1.217,5
43,Jun,0.968,0.78,1.2,6
43,Jul,0.935,0.754,1.16,7
43,Aug,0.907,0.732,1.125,8
43,Sep,0.891,0.719,1.106,9
43,Oct,0.876,0.706,1.087,10
43,Apr,0.705,0.567,0.876,4
44,Mar,0.783,0.631,0.972,3
44,May,1.049,0.844,1.304,5
44,Jun,1.037,0.836,1.286,6
44,Jul,1.004,0.809,1.245,7
44,Aug,0.974,0.785,1.208,8
44,Sep,0.956,0.771,1.186,9
44,Oct,0.939,0.757,1.165,10
44,Apr,0.762,0.613,0.948,4
45,Mar,0.836,0.674,1.037,3
45,May,1.123,0.903,1.396,5
45,Jun,1.11,0.895,1.377,6
45,Jul,1.076,0.867,1.334,7
45,Aug,1.044,0.842,1.295,8
45,Sep,1.023,0.825,1.269,9
45,Oct,1.005,0.811,1.247,10
45,Apr,0.823,0.662,1.023,4
46,Mar,0.891,0.718,1.106,3
46,May,1.2,0.966,1.492,5
46,Jun,1.186,0.956,1.471,6
46,Jul,1.151,0.928,1.427,7
46,Aug,1.117,0.901,1.385,8
46,Sep,1.094,0.882,1.357,9
46,Oct,1.075,0.866,1.333,10
46,Apr,0.887,0.714,1.103,4
47,Mar,0.949,0.765,1.177,3
47,May,1.281,1.031,1.592,5
47,Jun,1.266,1.021,1.57,6
47,Jul,1.229,0.991,1.525,7
47,Aug,1.194,0.963,1.48,8
47,Sep,1.168,0.942,1.448,9
47,Oct,1.147,0.925,1.422,10
47,Apr,0.955,0.768,1.186,4
48,Mar,1.009,0.813,1.251,3
48,May,1.365,1.099,1.696,5
48,Jun,1.349,1.088,1.673,6
48,Jul,1.312,1.058,1.627,7
48,Aug,1.274,1.027,1.58,8
48,Sep,1.245,1.004,1.544,9
48,Oct,1.222,0.986,1.516,10
48,Apr,1.026,0.826,1.275,4
49,Mar,1.071,0.863,1.329,3
49,May,1.453,1.17,1.805,5
49,Jun,1.436,1.158,1.781,6
49,Jul,1.398,1.127,1.733,7
49,Aug,1.357,1.095,1.683,8
49,Sep,1.325,1.069,1.644,9
49,Oct,1.301,1.049,1.614,10
49,Apr,1.101,0.886,1.368,4
50,Mar,1.136,0.916,1.409,3
50,May,1.545,1.244,1.919,5
50,Jun,1.526,1.231,1.893,6
50,Jul,1.487,1.199,1.844,7
50,Aug,1.445,1.165,1.792,8
50,Sep,1.409,1.136,1.748,9
50,Oct,1.383,1.115,1.715,10
50,Apr,1.18,0.95,1.465,4
51,Mar,1.203,0.97,1.492,3
51,May,1.64,1.321,2.037,5
51,Jun,1.621,1.307,2.01,6
51,Jul,1.581,1.275,1.96,7
